NO.,DATE,IV No.,PO No.,PC Job,SUPPLIER,ID,qty,UNIT/Price
,1/1/2021,ยกยอด64,,,,CBA925220,13,97.46
,1/1/2021,ยกยอด64,,,,CBA925280,8,122.3
,1/1/2021,ยกยอด64,,,,CBA925330,9,139.78
,1/1/2021,ยกยอด64,,,,CBA925380,3,154.04
,1/1/2021,ยกยอด64,,,,CBA925410,10,163.37
,1/1/2021,ยกยอด64,,,,CBB414140,23,38.35
,1/1/2021,ยกยอด64,,,,CBB414170,16,44.1
,1/1/2021,ยกยอด64,,,,CBB514140,17,45.71
,1/1/2021,ยกยอด64,,,,CBB514170,16,52.15
,1/1/2021,ยกยอด64,,,,CBB614140,4,54.15
,1/1/2021,ยกยอด64,,,,CBB614170,11,59.97
,1/1/2021,ยกยอด64,,,,CBB714140,100,60.05
,1/1/21,ยกยอด64,,,,CBB714170,98,68.02
,1/1/21,ยกยอด64,,,,CBB814140,46,70.41
,1/1/21,ยกยอด64,,,,CBB814170,2,76.07
,1/1/21,ยกยอด64,,,,CBB914140,32,71.47
,1/1/21,ยกยอด64,,,,CBB914170,5,85.5
,1/1/21,ยกยอด64,,,,CBC11070,82,13.4
,1/1/21,ยกยอด64,,,,CBC140100,132,17
,1/1/21,ยกยอด64,,,,CBC14080,2,12
,1/1/21,ยกยอด64,,,,CBC15070,76,15.08
,1/1/21,ยกยอด64,,,,CBC170100,6,17.24
,1/1/21,ยกยอด64,,,,CBC17080,21,20.5
,1/1/21,ยกยอด64,,,,CBC200100,55,21.08
,1/1/21,ยกยอด64,,,,CBC20080,14,21.08
,1/1/21,ยกยอด64,,,,CBC220100,29,21.08
,1/1/21,ยกยอด64,,,,CBC260100,33,22
,1/1/21,ยกยอด64,,,,CBC280100,40,24.68
,1/1/21,ยกยอด64,,,,CBC280125,27,29
,1/1/21,ยกยอด64,,,,CBC280140,13,31.4
,1/1/21,ยกยอด64,,,,CBC280160,33,34.52
,1/1/21,ยกยอด64,,,,CBC330100,109,27.8
,1/1/21,ยกยอด64,,,,CBC330140,15,34.28
,1/1/21,ยกยอด64,,,,CBC350100,38,34.28
,1/1/21,ยกยอด64,,,,CBC410100,104,30
,1/1/21,ยกยอด64,,,,CBC410140,1,37.16
,1/1/21,ยกยอด64,,,,CV167510770,1,482
,1/1/21,ยกยอด64,,,,CV187510470,16,550.15
,1/1/21,ยกยอด64,,,,CV187510570,17,557.2
,1/1/21,ยกยอด64,,,,CV187510870,6,897.95
,1/1/21,ยกยอด64,,,,CV187510970,4,963
,1/1/21,ยกยอด64,,,,CV18757700,8,670
,1/1/21,ยกยอด64,,,,CV207500970,2,970.8
,1/1/21,ยกยอด64,,,,CV2075101163,8,1078.9
,1/1/21,ยกยอด64,,,,CV207510370,5,500
,1/1/21,ยกยอด64,,,,CV207510470,20,623
,1/1/21,ยกยอด64,,,,CV207510570,5,694.8
,1/1/21,ยกยอด64,,,,CV207510670,7,717
,1/1/21,ยกยอด64,,,,CV207510870,10,785.15
,1/1/21,ยกยอด64,,,,CV207510970,5,970.8
,1/1/21,ยกยอด64,,,,CV215010870,1,721.7
,1/1/21,ยกยอด64,,,,CV22259700,2,1278.8
,1/1/21,ยกยอด64,,,,CV570157500,3,482
,1/1/21,ยกยอด64,,,,CV770197510,4,963
,1/1/21,ยกยอด64,,,,CV797210110,4,844
,1/1/21,ยกยอด64,,,,CV89721500,1,1200
,1/1/21,ยกยอด64,,,,CV997210110,2,1060.2
,1/1/21,ยกยอด64,,,,CV99721500,1,1300
,1/1/21,ยกยอด64,,,,CV9972250100,5,1278.8
,1/1/21,ยกยอด64,,,,DC50221020,61,32.43
,1/1/21,ยกยอด64,,,,DC50221120,401,38.18
,1/1/21,ยกยอด64,,,,DC50221220,31,40.25
,1/1/21,ยกยอด64,,,,DC5022220,364,10
,1/1/21,ยกยอด64,,,,DC5022270,99,12
,1/1/21,ยกยอด64,,,,DC5022320,748,12.5
,1/1/21,ยกยอด64,,,,DC5022420,1046,17.16
,1/1/21,ยกยอด64,,,,DC5022520,119,20
,1/1/21,ยกยอด64,,,,DC5022620,72,25
,1/1/21,ยกยอด64,,,,DC5022720,21,30
,1/1/21,ยกยอด64,,,,DC5022820,22,26.22
,1/1/21,ยกยอด64,,,,DC5022920,53,55
,1/1/21,ยกยอด64,,,,DC7025520,353,22.57
,1/1/21,ยกยอด64,,,,DC7025620,239,23.89
,1/1/21,ยกยอด64,,,,DC7025720,104,28.76
,1/1/21,ยกยอด64,,,,DC7025820,116,34.56
,1/1/21,ยกยอด64,,,,DC7025920,479,40.5
,1/1/21,ยกยอด64,,,,DCE5040420,18,17.16
,1/1/21,ยกยอด64,,,,DCE5040520,37,25.5
,1/1/21,ยกยอด64,,,,DCE5040620,38,30.5
,1/1/21,ยกยอด64,,,,DCE5040720,30,40
,1/1/21,ยกยอด64,,,,DCE5040820,8,45
,1/1/21,ยกยอด64,,,,DCE5040920,25,55
,1/1/21,ยกยอด64,,,,FC6060420,23,24.36
,1/1/21,ยกยอด64,,,,FC6060520,28,30.24
,1/1/21,ยกยอด64,,,,FC68451020,18,79.135
,1/1/21,ยกยอด64,,,,FC68451120,14,83.055
,1/1/21,ยกยอด64,,,,FC68451220,120,96.775
,1/1/21,ยกยอด64,,,,FC6845200,275,20.33
,1/1/21,ยกยอด64,,,,FC684520320,281,21.8
,1/1/21,ยกยอด64,,,,FC684520420,240,22.36
,1/1/21,ยกยอด64,,,,FC684520520,240,28.76
,1/1/21,ยกยอด64,,,,FC684520620,228,32.48
,1/1/21,ยกยอด64,,,,FC684520720,57,37.52
,1/1/21,ยกยอด64,,,,FC684520920,86,46.4
,1/1/21,ยกยอด64,,,,FC6845210,43,20.82
,1/1/21,ยกยอด64,,,,FC6845220,109,21.81
,1/1/21,ยกยอด64,,,,FC6845258,40,24.99
,1/1/21,ยกยอด64,,,,FC6845260,140,30
,1/1/21,ยกยอด64,,,,FC6845270,32,38.67
,1/1/21,ยกยอด64,,,,FC6845300,68,29.4
,1/1/21,ยกยอด64,,,,FC6845320,76,31.6
,1/1/21,ยกยอด64,,,,FC6845370,47,36.26
,1/1/21,ยกยอด64,,,,FC6845420,90,38.95
,1/1/21,ยกยอด64,,,,FC6845520,131,95
,1/1/21,ยกยอด64,,,,FC6845620,55,52.92
,1/1/21,ยกยอด64,,,,FC6845720,102,100
,1/1/21,ยกยอด64,,,,FC6845725,42,62.96
,1/1/21,ยกยอด64,,,,FC6845820,81,110
,1/1/21,ยกยอด64,,,,FC6845920,60,120
,1/1/21,ยกยอด64,,,,FC6845926,21,79.13
,1/1/21,ยกยอด64,,,,FC80451020,40,90.4
,1/1/21,ยกยอด64,,,,FC80451120,41,99.71
,1/1/21,ยกยอด64,,,,FC8045260,50,29.89
,1/1/21,ยกยอด64,,,,FC8045320,127,30.38
,1/1/21,ยกยอด64,,,,FC8045420,103,43.85
,1/1/21,ยกยอด64,,,,FC8045620,148,54.39
,1/1/21,ยกยอด64,,,,FC8045720,40,62.96
,1/1/21,ยกยอด64,,,,FC8045820,29,74.97
,1/1/21,ยกยอด64,,,,FC8045920,14,120
,1/1/21,ยกยอด64,,,,FCB6845720,3,100
,1/1/21,ยกยอด64,,,,FCC68451020/4,74,79.135
,1/1/21,ยกยอด64,,,,FCC68451120/4,2,83.05
,1/1/21,ยกยอด64,,,,FCC6845520/4,1,38.95
,1/1/21,ยกยอด64,,,,FCC6845620/4,18,52.96
,1/1/21,ยกยอด64,,,,FCC6845720/4,121,100
,1/1/21,ยกยอด64,,,,FCC6845820/4,17,73.99
,1/1/21,ยกยอด64,,,,FCC6845920/4,15,79.13
,1/1/21,ยกยอด64,,,,FCC6845920/4-0,48,79.13
,1/1/21,ยกยอด64,,,,FCV6845720,9,62.96
,1/1/21,ยกยอด64,,,,FCV6845920,18,79.13
,1/1/21,ยกยอด64,,,,FD10006845,53,180
,1/1/21,ยกยอด64,,,,FD11006845,8,185
,1/1/21,ยกยอด64,,,,FD12006845,12,230
,1/1/21,ยกยอด64,,,,FD13006845,89,120
,1/1/21,ยกยอด64,,,,FD4006845,13,50
,1/1/21,ยกยอด64,,,,FD5006845,7,65
,1/1/21,ยกยอด64,,,,FD6006845,98,90.5
,1/1/21,ยกยอด64,,,,FD7006845,1,100
,1/1/21,ยกยอด64,,,,FD8006845,13,150
,1/1/21,ยกยอด64,,,,FD9006845,46,150
,1/1/21,ยกยอด64,,,,FF40192550,50,262.7
,1/1/21,ยกยอด64,,,,FF40212550,73,262.7
,1/1/21,ยกยอด64,,,,FF40227550,51,200.8
,1/1/21,ยกยอด64,,,,FL401020,4,23.63
,1/1/21,ยกยอด64,,,,FL401120,37,25.01
,1/1/21,ยกยอด64,,,,FL40320,17,11.9
,1/1/21,ยกยอด64,,,,FL40420,6,13.51
,1/1/21,ยกยอด64,,,,FL40520,69,15
,1/1/21,ยกยอด64,,,,FL40620,30,16.96
,1/1/21,ยกยอด64,,,,FL40720,28,18.34
,1/1/21,ยกยอด64,,,,FL40820,18,19.95
,1/1/21,ยกยอด64,,,,FL40920,15,21.79
,1/1/21,ยกยอด64,,,,FRIM,3,433.333
,1/1/21,ยกยอด64,,,,FS37502138,51,220
,1/1/21,ยกยอด64,,,,FS385020504,28,41.2
,1/1/21,ยกยอด64,,,,FS40501563,4,136.2
,1/1/21,ยกยอด64,,,,FS40501588,1,136.2
,1/1/21,ยกยอด64,,,,FS40501788,41,284.92
,1/1/21,ยกยอด64,,,,FS40501863,17,160
,1/1/21,ยกยอด64,,,,FS40501963,3,171.6
,1/1/21,ยกยอด64,,,,FS40501988,78,284.92
,1/1/21,ยกยอด64,,,,FS4050201778,58,103.8
,1/1/21,ยกยอด64,,,,FS4050201988,15,118.2
,1/1/21,ยกยอด64,,,,FS40502138,7,220
,1/1/21,ยกยอด64,,,,FS4050301888,2,150
,1/1/21,ยกยอด64,,,,FS53501785,94,156.6
,1/1/21,ยกยอด64,,,,FS53501885,23,150
,1/1/21,ยกยอด64,,,,FS53501985,11,174.6
,1/1/21,ยกยอด64,,,,GLN30190X290,,0
,1/1/21,ยกยอด64,,,,GLN60140x220,1,350
,1/1/21,ยกยอด64,,,,GLN60150X230,10,300
,1/1/21,ยกยอด64,,,,GLN60190X290,25,450
,1/1/21,ยกยอด64,,,,GLN60210x460,1,650
,1/1/21,ยกยอด64,,,,GLN60260x460,2,850
,1/1/21,ยกยอด64,,,,GLS50234X334,9,300
,1/1/21,ยกยอด64,,,,JHH10546835,8,63.08
,1/1/21,ยกยอด64,,,,JHH4546835,26,31.4
,1/1/21,ยกยอด64,,,,JHH5546835,33,35.72
,1/1/21,ยกยอด64,,,,JHH6546835,28,41.24
,1/1/21,ยกยอด64,,,,JHH7046835,10,45.8
,1/1/21,ยกยอด64,,,,JHH7546835,111,57.8
,1/1/21,ยกยอด64,,,,JHH8546835,6,54.96
,1/1/21,ยกยอด64,,,,JHH9546835,1,57.8
,1/1/21,ยกยอด64,,,,JHH5046835,8,30
,1/1/21,ยกยอด64,,,,JJH6532304,14,21.8
,1/1/21,ยกยอด64,,,,JJH6532324,30,23
,1/1/21,ยกยอด64,,,,JJH6532330,14,26.84
,1/1/21,ยกยอด64,,,,JJH6532354,153,24.68
,1/1/21,ยกยอด64,,,,JJH6532404,132,28.04
,1/1/21,ยกยอด64,,,,JJH6532454,131,29.56
,1/1/21,ยกยอด64,,,,JJH6532479,44,33.32
,1/1/21,ยกยอด64,,,,JJH6532504,19,33.56
,1/1/21,ยกยอด64,,,,JJH6532554,91,35.96
,1/1/21,ยกยอด64,,,,JJH6532604,13,39.8
,1/1/21,ยกยอด64,,,,JJH6532629,56,41.24
,1/1/21,ยกยอด64,,,,JJH6532654,77,40.24
,1/1/21,ยกยอด64,,,,JJH6532704,38,44.12
,1/1/21,ยกยอด64,,,,JJH6532754,80,47.96
,1/1/21,ยกยอด64,,,,JJH6532804,5,50.12
,1/1/21,ยกยอด64,,,,JJH6532854,53,53.88
