NO.,CODE,GROUP,LIST,BRAND,HI,WEIGHT KG,GROUP,
1457,SPH5012202440,MAT ST,เหล็กแผ่นดำ 4'x8' T5.0,,แผ่น,,,
1458,SPH6012202440,MAT ST,เหล็กแผ่นดำ 4'x8' T6.0,K.TANAWAT,แผ่น,,,
1459,SPH9012202440,MAT ST,เหล็กแผ่นดำ 4'x8' T9.0,K.TANAWAT,แผ่น,,,
1460,SPHCK2012202440,MAT ST,เหล็กแผ่นลาย 4'x8' T2.0mm ,,แผ่น,,,
1461,SPHCK3012202440,MAT ST,เหล็กแผ่นลาย 4'x8' หนา 3 มิล,,แผ่น,,,
1462,SPHCK6012202440,MAT ST,เหล็กแผ่นลาย 4'x8' หนา 6 มิล,,แผ่น,,,
1463,SPHX7751605,MAT ST,"ตะแกรง  2"" #10 ขนาด 775x1605mm 4แผ่น",,ตร.ม,,,
1464,SPHXS03751100,MAT ST,ตะแกรง 1-1/2 #10 ขนาด 0.375x1.100 -6แผ่น,ASIA,แผ่น,,,
1465,SPHXS041018,MAT ST,ตะแกรง 1-1/2 #10 ขนาด 0.400x1.018 -6แผ่น,ASIA,แผ่น,,,
1466,SPHXS0850900,MAT ST,ตะแกรง 1-1/2 #10 ขนาด 0.850x0.900 -6แผ่น,ASIA,แผ่น,,,
1467,SPHXS0851100,MAT ST,ตะแกรง 1-1/2 #10 ขนาด 0.850x1.100 -6แผ่น,ASIA,แผ่น,,,
1468,SPHXS0921120,MAT ST,ตะแกรง 1-1/2 #10 ขนาด 0.920x1.120 -6แผ่น,,แผ่น,,,
1469,SPHXS2312202440,MAT ST,ตะแกรงเห็ลกฉีก 4X8 T2.3,,แผ่น,,,
1470,SPHXS3312202440,MAT ST,ตะแกรงเหล็กฉีก XS-33 ขนาด 4'x8' T2.3,,แผ่น,,,
1471,SPHXS4212202440,MAT ST,ตะแกรงเหล็กฉีก 4'x8' XS-42,,แผ่น,,,
1472,SQ406000,MAT ST,"เพลาเหล็กสี่เหลี่ยม 1""1/2x1""1/2",,M,,,
1473,SR1506000,MAT ST,เหล็กเพลากลม 15 มิล,,M,,,
1474,SR206000,MAT ST,เพลาขาว 20 มิล 6M,,EA,,,
1475,SR324000,MAT ST,เพลากลม 3.2MM,,M,,,
1476,SR504000,MAT ST,เหล็กเพลากลม 5มิล,,M,,,
1477,SR604000,MAT ST,เหล็กเพลากลม 6 มิล ,,M,,,
1478,SR704000,MAT ST,เหล็กเพลากลม 7มิล,พรสตีล,M,,,
1479,SR804000,MAT ST,เหล็กเพลากลม 8มิล * 4 เมตร,พรสตีล,M,,,
1480,SR906000,MAT ST,เหล็กเพลากลม9มิล,,M,,,
1481,SRB20x25,MAT ST,เหล็กตะแกรงไวร์เมช 20cmx20cmx5.6mmx2.0Mx25M,,M,,,
1482,SU26000,MAT ST,เหล็กรางน้ำ U' 2,,M,,,
1483,SU36000,MAT ST,เหล็กรางน้ำ U' 3,,M,,,
1484,SU46000,MAT ST,เหล็กรางน้ำ U' 4,,M,,,
1485,SU56000,MAT ST,เหล็กรางน้ำ U' 5,,M,,,
1486,SU66000,MAT ST,เหล็กรางน้ำ U' 6,,M,,,
1487,SU86000,MAT ST,เหล็กรางน้ำ U' 8,,M,,,
1488,SUS0307582440,MAT ST,สแตนเลส758x2440T3.0 เศษ,,แผ่น,,,
1489,SUS0512202440,MAT ST,สแตนเลสแผ่น 4'x8' T0.5,,แผ่น,,,
1490,SUS0812202440,MAT ST,สแตนเลสแผ่น 4'x8' T0.8,,แผ่น,,,
1491,SUS0812202440#430,MAT ST,สแตนเลสแผ่น 4'x8' T0.8 #430,,แผ่น,,,
1492,SUS1012202440,MAT ST,สแตนเลสแผ่น 4'x8' T10,,แผ่น,,,
1493,SUS1212202440,MAT ST,สแตนเลสแผ่น 4'x8' T1.2,,แผ่น,,,
1494,SUS1512202440,MAT ST,สแตนเลสแผ่น 4'x8' T1.5,,แผ่น,,,
1495,SUS2012202440,MAT ST,สแตนเลสแผ่น 4'x8' T2.0,,แผ่น,,,
1496,SUS2512202440,MAT ST,สแตนเลสแผ่น 4'x8' T2.5,,แผ่น,,,
1497,SUS3012202440,MAT ST,สแตนเลสแผ่น 4'x8' T3.0,,แผ่น,,,
1498,SUS3015253050,MAT GL,สแตนเลสแผ่น 5x10 T3.0,,แผ่น,,,
1499,SUS304HL2012202440,MAT ST,สแตนเลสแผ่น 304L/HL 4'x8' T2.0mm,,แผ่น,,,
1500,SUS3162012202440,MAT GL,สแตนเลสแผ่น 316L/2B 4'x8' T2.0mm,,แผ่น,,,
1501,SUS5012202440,MAT ST,สแตนเลสแผ่น 4'x8' T5.0,,แผ่น,,,
1502,SUS806000,MAT ST,สแตนเลสกลม 304 8mm,,M,,,
1503,SUS9012202440,MAT ST,สแตนเลสแผ่น 304  4'x8' T9.0mm ,,แผ่น,,,
1504,SUSB0712202440,MAT ST,แผ่นตะแกรงสแตนเลส 4'x8' T0.7mm รู 3mm.,,แผ่น,,,
1505,SUSB1512202440,MAT ST,แผ่นตะแกรงสแตนเลส 4'x8' T1.5mm รู 3mm,,แผ่น,,,
1506,SUSF30126000,MAT ST,สแตนเลสแบน 1''1/2 หนา3.0,,M,,,
1507,SUSF3026000,MAT ST,สแตนเลสแบน 2'' หนา3.0,,M,,,
1508,SUSF3036000,MAT ST,สแตนเลสแบน 3'' หนา3.0,,M,,,
1509,SUSF3046000,MAT ST,สแตนเลสแบน 4'' หนา3.0,,M,,,
1510,SUSF30506000,MAT ST,"สแตนเลสแบน 2""x1/8""x6M",,M,,,
1511,SUSF451126000,MAT ST,สแตนเลสแบน 1''1/2 หนา4.5,,M,,,
1512,SUSF4526000,MAT ST,สแตนเลสแบน 2'' หนา4.5,,M,,,
1513,SUSF4536000,MAT ST,สแตนเลสแบน 3'' หนา4.5,,M,,,
1514,SUSF5026000,MAT ST,สแตนเลสแบน 2'' หนา5.0,,M,,,
1515,SUSF50506000,MAT ST,"สแตนเลสแบน 2""x3/16x6M",,M,,,
1516,SUSF601006000,MAT ST,"สแตนเลสแบน 4""x6mm",,M,,,
1517,SUSHL1512202440,MAT ST,สแตนเลสแผ่น 304/HAIR LINE 1220x2440 T1.5mm,,แผ่น,,,
1518,SUSHL2012202440,MAT ST,"สแตนเลสแผ่น 316L/HL 4""x8"" T2.0mm",,แผ่น,,,
1519,SUSK1012126000,MAT ST,"กล่องสแตนเลส 1/2""x1/2"" T1.0",,M,,,
1520,SUSK12506000,MAT ST,"กล่องสแตนเลส 2""x2""x1.2mm",,M.,,,
1521,SUSK15025506000,MAT ST,"กล่องสแตนเลส 1""x2"" T1.5",,M,,,
1522,SUSK15256000,MAT ST,"กล่องสแตนเลส 1""x1""x1.5mm",,M,,,
1523,SUSK15506000,MAT ST,"กล่องสแตนเลส 2""x2""x1.5mm",,M,,,
1524,SUSK20506000,MAT ST,"กล่องสแตนเลส 2""x2.0mm ",,M,,,
1525,SUSK20756000,MAT ST,กล่องสแตนเลส 3'' หนา2.0,,M,,,
1526,SUSK301006000,MAT ST,"กล่องสแตนเลส 4""x4""x3.0mm",,M,,,
1527,SUSK30506000,MAT ST,"กล่องสแตนเลส 2""x2""x3.0mm",,M,,,
1528,SUSK30806000,MAT ST,กล่องสแตนเลส 80x80 T3.0mm,,M,,,
1529,SUSL20,MAT ST,"ข้องอสแตนเลส 3/4"" #40",,EA,,,
1530,SUSL30306000,MAT ST,"ฉากสแตนเลส 1.1/4""x1.1/4"" T 1.6mm",,M,,,
1531,SUSL30406000,MAT ST,ฉากสแตนเลส 1''1/2 หนา3.0,,M,,,
1532,SUSL30506000,MAT ST,ฉากสแตนเลส 2'' หนา3.0,,M,,,
1533,SUSL45506000,MAT ST,ฉากสแตนเลส 2'' หนา4.5,,M,,,
1534,SUSL50406000,MAT ST,ฉากสแตนเลส 1''1/2 หนา5.0,,M,,,
1535,SUSL50506000,MAT ST,ฉากสแตนเลส 2' หนา5.0,,M,,,
1536,SUSL60506000,MAT ST,ฉากสแตนเลส 2'' หนา6.0,,M,,,
1537,SUSL60656000,MAT ST,"ฉากสแตนเลส 2.1/2""x2.1/2""x1/4""x6M",,M,,,
1538,SUSL90756000,MAT ST,"ฉากสแตนเลส 3""x3""x3/8"" x6M",,M,,,
1540,SUSM1012202440,MAT ST,"สแตนเลสแผ่น 304/ฯ.8 4""x8"" T 1.0mm (แบบเงากระจก)",,แผ่น,,,
1541,SUSNB206000,MAT ST,"ท่อสแตนเลส NB #40 3/4""x2.87mm",,M,,,
1542,SUSO10166000,MAT ST,ท่อสแตนเลส 5/8 หนา 1.0,,M,,,
1543,SUSO10206000,MAT ST,ท่อสแตนเลส 3/4 หนา 1.0,,M,,,
1544,SUSO10226000,MAT ST,"ท่อสแตนเลสกลม 7/8"" T1.0mm",,M,,,
1545,SUSO12256000,MAT ST,ท่อสแตนเลส 1'' หนา1.2,,M,,,
1546,SUSO12356000,MAT ST,"ท่อสแตนเลสกลม 1-1/4""x1.2mm ",,M,,,
1547,SUSO12406000,MAT ST,ท่อสแตนเลส 1''1/2 หนา1.2,,M,,,
1548,SUSO12506000,MAT ST,"ท่อสแตนเลส 2"" หนา1.2",,M,,,
1549,SUSO15506000,MAT ST,ท่อสแตนเลส 2'' หนา1.5,,M,,,
1550,SUSO20306000,MAT ST,ท่อสแตนเลส 1.1/4 x2.0mm,,M,,,
1551,SUSO20406000,MAT ST,"ท่อสแตนเลสกลม 1.1/2""x2.0mm",,M,,,
1552,SUSO301006000,MAT ST,ท่อสแตนเลส 4'' หนา3.0,,M,,,
1553,SUSO30256000,MAT ST,ท่อสแตนเลส 1''x3.0mm,,M,,,
1554,SUSO30406000,MAT ST,ท่อสแตนเลส 1.1/2x3.0mm,,M,,,
1555,SUSO30506000,MAT ST,ท่อสแตนเลส 2''x3.0mm,,M,,,
1556,SUSO39506000,MAT ST,ท่อสแตนเลส 2'' หนา3.9,,M,,,
1557,SUSR126000,MAT ST,เพลาสแตนเลส 12 มิล,,M,,,
1558,SUSR16166000,MAT ST,เพลาสแตนตัน 5/8,,M,,,
1559,SUSR166000,MAT ST,เพลาสแตนเลส 5/8 หนา 16 มิล,,M,,,
1560,SUSR206000,MAT ST,เพลาสแตนเลส 20 มิล  ,,M,,,
1561,SUSR406000,MAT ST,เพลาสแตนเลส 40 มิล ,,M,,,
1562,SUSR506000,MAT ST,เพลาสแตนเลส 5 มิล,,M,,,
1563,SUSR606000,MAT ST,เพลาสแตนเลส 6 มิล,,M,,,
1564,SUSR806000,MAT ST,เพลาสแตนเลส DI 8 mm x 6 M.,,M,,,
1565,SUSU46000,MAT ST,รางสแตนเลส 100x50x5.0mmx6M รีด,,M,,,
1566,SWF50100506000,MAT ST,เหล็กไวด์แฟรงค์ 100x50x5x7,,M,,,
1567,TABLE-HDG,MAT GL,โต๊ะ ขนาด 350x445 ชุบHOTDIP,,EA,,,
1568,TER150X197/4,PART,ขายึดเทอมีนอล150X197 4รู,,EA,0.5,,
1569,TR3012202440,MAT ST,แผ่นโพลิคาร์บอเนต 4'x8' T3.0,,แผ่น,,,
1570,TR4012202440,MAT ST,แผ่นโพลีคาร์บอเนต 4'x8' T4.0,,แผ่น,,,
1571,Z601095,PART,ตัวแซดยึดแผ่นพื้น 60x1095,,EA,1.12,,
1572,Z601195,PART,ตัวแซดยึดแผ่นพื้น 60x1195,,EA,1.47,,
1573,Z60395,PART,ตัวแซดยึดแผ่นพื้น 60x395,,EA,0.36,,
1574,Z60495,PART,ตัวแซดยึดแผ่นพื้น 60x495,,EA,0.5,,
1575,Z60595,PART,ตัวแซดยึดแผ่นพื้น 60x595,,EA,0.54,,
1576,Z60695,PART,ตัวแซดยึดแผ่นพื้น 60x695,,EA,0.7,,
1577,Z60795,PART,ตัวแซดยึดแผ่นพื้น 60x795,,EA,0.83,,
1578,Z60895,PART,ตัวแซดยึดแผ่นพื้น 60x895,,EA,0.92,,
1579,Z60995,PART,ตัวแซดยึดแผ่นพื้น 60x995,,EA,1,,
1580,ค่าแก้มุม,,ค่าแก้มุม 11 แผ่น,,LOT,,,
1581,GL50362x592,MAT GL,กระจกใส 362x592 T5.0,,EA,,,
1582,GL50262x317,MAT GL,กระจกใส 262x317 T5.0,,EA,,,
1583,GL50262x662,MAT GL,กระจกใส 262x662 T5.0,,EA,,,
1584,GL50312x1112,MAT GL,กระจกใส 312x1112 T5.0,,EA,,,
1585,GL50412x412,MAT GL,กระจกใส 412x412 T5.0,,EA,,,
1586,FC6845470,PART,คานต่อโครง 68x45x3mm470,,EA,,,
1587,FC6845570,PART,คานต่อโครง 68x45x3mm570,,EA,,,
1588,FC6845650,PART,คานต่อโครง 68x45x3mm650,,EA,,,
1589,FCC6845650/4,PART,คานต่อโครง 4รู68x45x3mm650,,EA,,,
1590,GL50532x1012,MAT GL,กระจกใส 532X1012 T5.0,,แผ่น,,,
1591,GL50452x767,MAT GL,กระจกใส 452X767 T5.0,,แผ่น,,,
1592,GL50292x537,MAT GL,กระจกใส 292X537 T5.0,,แผ่น,,,
1593,GL30142x212,MAT GL,กระจกใส 142X212 T3.0,,แผ่น,,,
1594,GL30152x537,MAT GL,กระจกใส 152x537 T3.0,,แผ่น,,,
1595,GL30182x207,MAT GL,กระจกใส 182x207 T3.0,,แผ่น,,,
1596,GL50502x932,MAT GL,กระจกใส 502x932 T5.0,,แผ่น,,,
1597,GL50462x792,MAT GL,กระจกใส 462x792 T5.0,,แผ่น,,,
1598,SPH3215253050,MAT ST,เหล็กแผ่นดำ 5'x10' T3.2,,แผ่น,,,
1599,API28206000,MAT ST,"ท่อ API #40 ชุบกัลวาไนซ์  3/4"" T 2.8mm",,M,,,
1600,HDJ650085,,ค่าชุบ HOTDIP J650085 17.3 kg ,,LOT,,,
1601,GL50662x732,MAT GL,กระจกใส 662x732 T5.0,,แผ่น,,,
1602,GL50312x592,MAT GL,กระจกใส 312x592 T5.0,,แผ่น,,,
1603,GL50620x825,MAT GL,กระจกใส 620x825 T5.0,,แผ่น,,,
1604,GLN60192x472,MAT GL,กระจกลวด 192x472 T6.0,,แผ่น,,,
1605,GLN60306x346,MAT GL,กระจกลวด 306x346 T6.0,,แผ่น,,,
1606,SR126000,MAT ST,เหล็กเพลากลม 12มิล * 6 เมตร,,M,,,
1607,GL30462x662,MAT GL,กระจกใส 462x662 T3.0,,แผ่น,,,
1608,GL50392x702,MAT GL,กระจกใส 462x662 T5.0,,แผ่น,,,
1609,GL50492x637,MAT GL,กระจกใส 492x637 T5.0,,แผ่น,,,
1610,SO28256000,MAT GL,เหล็กท่อกลม 1'' หนา 2.8มิล x6m,,M,,,
1611,FCB6845820,PART,คานต่อโครงรับลูกถ้วย 820x68x45,,EA,,,
1612,GL50462x872,MAT GL,กระจกใส 462x872 T5.0,,แผ่น,,,
,GL30412x862,MAT GL,กระจกใส 412x862 T3.0,,แผ่น,,,
,GL50292x579,MAT GL,กระจกใส 292x579 T5.0,,แผ่น,,,
,GL50212x612,MAT GL,กระจกใส 212x612 T5.0,,แผ่น,,,
,GL50312x387,MAT GL,กระจกใส 312x387 T5.0,,แผ่น,,,
,GL50402x568,MAT GL,กระจกใส 402x568 T5.0,,แผ่น,,,
,,MAT GL,,,,,,
